frame,state,mask_area,cx,cy,chamfer_px,closure_score
000000,unknown,6167,471.6,209.8,,0.563
000001,unknown,6219,471.6,210.0,0.24,0.562
000002,unknown,6210,471.6,210.0,0.20,0.562
000003,static_on_table,6145,471.6,209.9,0.18,0.562
000004,static_on_table,6200,471.6,210.1,0.27,0.562
000005,static_on_table,6127,471.4,209.9,0.35,0.562
000006,static_on_table,6126,471.4,209.9,0.31,0.562
000007,static_on_table,6128,471.4,210.0,0.14,0.562
000008,static_on_table,6211,471.7,210.0,0.10,0.562
000009,static_on_table,6133,471.6,209.9,0.13,0.563
000010,static_on_table,6136,471.5,209.9,0.11,0.564
000011,static_on_table,6135,471.5,209.9,0.12,0.565
000012,static_on_table,6132,471.5,209.9,0.30,0.566
000013,static_on_table,6138,471.5,209.9,0.10,0.567
000014,static_on_table,6138,471.4,209.9,0.11,0.568
000015,static_on_table,6138,471.4,209.9,0.11,0.568
000016,static_on_table,6214,471.5,210.0,0.31,0.569
000017,static_on_table,6234,471.5,210.0,0.36,0.568
000018,static_on_table,6154,471.5,209.9,0.13,0.567
000019,static_on_table,6144,471.5,209.8,0.13,0.564
000020,static_on_table,6162,471.5,209.9,0.23,0.563
000021,static_on_table,6162,471.5,209.9,0.29,0.561
000022,static_on_table,6148,471.6,209.9,0.11,0.558
000023,static_on_table,6135,471.6,209.9,0.11,0.556
000024,static_on_table,6206,471.6,210.0,0.20,0.554
000025,static_on_table,6132,471.5,209.8,0.14,0.551
000026,static_on_table,6131,471.5,210.0,0.13,0.548
000027,static_on_table,6121,471.5,209.9,0.15,0.545
000028,static_on_table,6121,471.5,209.9,0.34,0.542
000029,static_on_table,6111,471.5,209.9,0.13,0.540
000030,static_on_table,6120,471.5,209.9,0.16,0.535
000031,static_on_table,6134,471.6,209.9,0.17,0.527
000032,static_on_table,6160,471.5,209.8,0.23,0.519
000033,static_on_table,6125,471.5,209.8,0.14,0.505
000034,static_on_table,6104,471.3,210.1,0.21,0.495
000035,static_on_table,6031,471.2,210.2,0.45,0.482
000036,static_on_table,6034,471.2,210.2,0.50,0.474
000037,static_on_table,5968,471.1,210.6,0.65,0.457
000038,static_on_table,5972,471.1,210.6,0.48,0.445
000039,static_on_table,5961,470.9,211.0,0.70,0.433
000040,static_on_table,5892,470.8,210.9,0.62,0.416
