frame,state,mask_area,cx,cy,chamfer_px,closure_score
000000,unknown,1706,346.7,268.0,,0.563
000001,unknown,1714,346.4,268.0,0.20,0.562
000002,unknown,1709,346.5,268.0,0.20,0.562
000003,static_on_table,1710,346.5,268.0,0.21,0.562
000004,static_on_table,1712,346.4,268.0,0.21,0.562
000005,static_on_table,1706,346.5,268.0,0.06,0.562
000006,static_on_table,1710,346.4,268.0,0.07,0.562
000007,static_on_table,1706,346.5,268.0,0.05,0.562
000008,static_on_table,1716,346.4,268.0,0.06,0.562
000009,static_on_table,1717,346.4,268.0,0.07,0.563
000010,static_on_table,1709,346.4,267.9,0.09,0.564
000011,static_on_table,1709,346.4,267.9,0.07,0.565
000012,static_on_table,1716,346.5,268.0,0.07,0.566
000013,static_on_table,1717,346.5,268.0,0.08,0.567
000014,static_on_table,1709,346.4,268.0,0.06,0.568
000015,static_on_table,1708,346.5,268.0,0.06,0.568
000016,static_on_table,1712,346.4,268.0,0.08,0.569
000017,static_on_table,1715,346.4,268.0,0.08,0.568
000018,static_on_table,1714,346.5,267.9,0.10,0.567
000019,static_on_table,1708,346.5,268.0,0.07,0.564
000020,static_on_table,1708,346.5,267.9,0.12,0.563
000021,static_on_table,1708,346.5,267.9,0.13,0.561
000022,static_on_table,1710,346.4,268.0,0.07,0.558
000023,static_on_table,1710,346.4,268.0,0.06,0.556
000024,static_on_table,1715,346.5,268.0,0.06,0.554
000025,static_on_table,1715,346.5,268.0,0.06,0.551
000026,static_on_table,1709,346.4,268.0,0.05,0.548
000027,static_on_table,1716,346.4,268.0,0.06,0.545
000028,static_on_table,1715,346.4,268.0,0.06,0.542
000029,static_on_table,1714,346.4,268.0,0.06,0.540
000030,static_on_table,1713,346.4,267.9,0.08,0.535
000031,static_on_table,1714,346.4,268.0,0.05,0.527
000032,static_on_table,1714,346.4,268.0,0.04,0.519
000033,static_on_table,1716,346.3,268.0,0.08,0.505
000034,static_on_table,1711,346.4,267.9,0.05,0.495
000035,static_on_table,1712,346.4,268.0,0.07,0.482
000036,static_on_table,1711,346.5,268.0,0.07,0.474
000037,static_on_table,1716,346.4,268.0,0.09,0.457
000038,static_on_table,1716,346.4,268.0,0.06,0.445
000039,static_on_table,1707,346.5,267.9,0.08,0.433
000040,static_on_table,1707,346.5,267.9,0.08,0.416
000041,static_on_table,1712,346.5,268.0,0.06,0.403
000042,static_on_table,1704,346.4,267.9,0.08,0.393
000043,static_on_table,1704,346.4,267.9,0.08,0.385
000044,static_on_table,1708,346.4,267.9,0.07,0.379
000045,static_on_table,1713,346.4,268.0,0.05,0.370
000046,static_on_table,1713,346.4,268.0,0.08,0.360
000047,static_on_table,1717,346.4,268.0,0.11,0.348
000048,static_on_table,1717,346.4,268.0,0.06,0.337
000049,static_on_table,1715,346.4,268.0,0.07,0.328
000050,static_on_table,1714,346.4,268.0,0.06,0.321
000051,static_on_table,1709,346.4,267.9,0.07,0.310
000052,static_on_table,1709,346.4,267.9,0.07,0.303
000053,static_on_table,1712,346.4,268.0,0.05,0.298
000054,static_on_table,1712,346.4,268.0,0.05,0.294
000055,static_on_table,1714,346.4,268.0,0.06,0.291
000056,static_on_table,1714,346.4,268.0,0.06,0.290
000057,static_on_table,1713,346.4,268.0,0.03,0.290
000058,static_on_table,1713,346.4,268.0,0.08,0.289
000059,static_on_table,1710,346.4,268.0,0.06,0.289
000060,static_on_table,1710,346.4,268.0,0.06,0.289
000061,static_on_table,1706,346.5,268.0,0.05,0.290
000062,static_on_table,1711,346.5,268.0,0.05,0.292
000063,static_on_table,1711,346.5,268.0,0.07,0.294
000064,static_on_table,1711,346.5,268.0,0.07,0.295
000065,static_on_table,1711,346.4,268.0,0.08,0.296
000066,static_on_table,1709,346.4,268.0,0.07,0.297
000067,static_on_table,1713,346.4,268.0,0.04,0.299
000068,static_on_table,1715,346.5,267.9,0.10,0.301
000069,static_on_table,1714,346.5,267.9,0.07,0.302
000070,static_on_table,1711,346.4,268.0,0.06,0.303
000071,static_on_table,1714,346.4,268.0,0.05,0.304
000072,static_on_table,1713,346.4,268.0,0.08,0.305
000073,static_on_table,1712,346.4,268.0,0.10,0.306
000074,static_on_table,1720,346.4,268.0,0.07,0.306
000075,static_on_table,1720,346.4,268.0,0.05,0.306
000076,static_on_table,1717,346.4,268.0,0.05,0.306
000077,static_on_table,1708,346.5,267.9,0.07,0.307
000078,static_on_table,1711,346.4,268.0,0.08,0.308
000079,static_on_table,1711,346.4,268.0,0.08,0.310
000080,static_on_table,1707,346.4,268.0,0.07,0.312
000081,static_on_table,1707,346.4,268.0,0.06,0.315
000082,static_on_table,1712,346.4,267.9,0.06,0.319
000083,static_on_table,1712,346.4,267.9,0.06,0.320
000084,static_on_table,1713,346.4,268.0,0.05,0.316
000085,static_on_table,1713,346.4,268.0,0.05,0.309
000086,static_on_table,1710,346.4,268.0,0.05,0.299
000087,static_on_table,1714,346.4,268.0,0.06,0.292
000088,static_on_table,1714,346.4,268.0,0.06,0.285
000089,static_on_table,1709,346.4,268.0,0.07,0.275
000090,static_on_table,1708,346.4,268.0,0.06,0.266
000091,static_on_table,1708,346.4,268.0,0.08,0.254
000092,static_on_table,1714,346.4,268.0,0.05,0.243
000093,static_on_table,1714,346.4,268.0,0.04,0.230
000094,static_on_table,1715,346.4,268.0,0.07,0.213
000095,static_on_table,1722,346.4,268.0,0.09,0.200
000096,static_on_table,1720,346.4,268.0,0.06,0.186
000097,static_on_table,1720,346.4,268.0,0.06,0.171
000098,static_on_table,1721,346.4,268.0,0.05,0.162
000099,static_on_table,1715,346.4,268.0,0.07,0.155
000100,static_on_table,1721,346.4,268.0,0.04,0.151
000101,static_on_table,1718,346.5,267.9,0.09,0.146
000102,static_on_table,1712,346.4,268.0,0.06,0.142
000103,static_on_table,1708,346.4,268.0,0.07,0.140
000104,static_on_table,1719,346.4,268.0,0.03,0.139
000105,static_on_table,1709,346.4,268.0,0.09,0.138
000106,static_on_table,1708,346.4,268.0,0.07,0.139
000107,static_on_table,1714,346.4,268.0,0.07,0.139
000108,static_on_table,1718,346.4,268.0,0.06,0.140
000109,static_on_table,1718,346.4,268.0,0.05,0.141
000110,static_on_table,1701,346.3,268.0,0.13,0.144
000111,static_on_table,1700,346.3,268.0,0.12,0.146
000112,static_on_table,1679,346.0,268.3,0.24,0.149
000113,static_on_table,1660,345.7,268.3,0.33,0.151
000114,static_on_table,1659,345.8,268.3,0.34,0.154
000115,static_on_table,1631,345.4,268.5,0.47,0.155
000116,static_on_table,1630,345.4,268.5,0.37,0.157
000117,static_on_table,1600,345.0,268.5,0.37,0.157
000118,static_on_table,1601,345.0,268.5,0.37,0.157
000119,static_on_table,1567,344.6,268.6,0.35,0.157
000120,static_on_table,1567,344.6,268.6,0.35,0.156
000121,static_on_table,1526,344.2,268.7,0.39,0.156
000122,static_on_table,1503,343.8,268.7,0.52,0.156
000123,static_on_table,1472,343.5,268.9,0.48,0.155
000124,static_on_table,1472,343.5,268.9,0.48,0.156
000125,static_on_table,1463,343.5,268.8,0.42,0.157
000126,static_on_table,1462,343.5,268.9,0.35,0.157
000127,static_on_table,1450,343.5,268.9,0.31,0.157
000128,static_on_table,1453,343.5,268.9,0.30,0.157
000129,static_on_table,1439,343.2,268.9,0.24,0.157
000130,static_on_table,1437,343.2,268.9,0.24,0.158
000131,static_on_table,1427,343.0,268.8,0.26,0.158
000132,static_on_table,1425,343.0,268.8,0.26,0.159
000133,static_on_table,1417,343.0,268.5,0.35,0.160
000134,static_on_table,1418,342.9,268.5,0.37,0.160
000135,static_on_table,1398,342.8,268.4,0.40,0.160
000136,static_on_table,1398,342.8,268.4,0.40,0.160
000137,static_on_table,1399,342.8,268.2,0.29,0.160
000138,static_on_table,1399,342.8,268.2,0.31,0.160
000139,static_on_table,1394,342.7,268.0,0.31,0.160
000140,static_on_table,1392,342.6,268.0,0.33,0.160
000141,static_on_table,1391,342.7,267.7,0.48,0.159
000142,static_on_table,1380,342.6,267.6,0.55,0.159
000143,static_on_table,1379,342.6,267.6,0.34,0.158
000144,static_on_table,1405,342.8,267.6,0.39,0.158
000145,static_on_table,1405,342.9,267.4,0.34,0.157
000146,static_on_table,1406,342.8,267.4,0.27,0.159
000147,static_on_table,1405,342.8,267.5,0.24,0.162
000148,static_on_table,1403,342.8,267.5,0.13,0.165
000149,static_on_table,1402,342.7,267.6,0.21,0.166
000150,static_on_table,1402,342.7,267.6,0.21,0.167
000151,static_on_table,1407,342.7,267.7,0.20,0.168
000152,static_on_table,1410,342.8,267.6,0.13,0.166
000153,static_on_table,1410,342.9,267.6,0.07,0.163
000154,static_on_table,1407,342.8,267.7,0.11,0.159
000155,static_on_table,1408,342.8,267.7,0.13,0.153
000156,static_on_table,1385,342.7,267.7,0.19,0.147
000157,static_on_table,1382,342.6,267.7,0.35,0.143
000158,static_on_table,1382,342.6,267.7,0.39,0.137
000159,static_on_table,1381,342.7,268.0,0.70,0.128
000160,static_on_table,1367,342.7,268.1,0.74,0.122
000161,static_on_table,1367,342.6,268.1,0.47,0.117
000162,static_on_table,1347,342.5,268.1,0.64,0.115
000163,static_on_table,1332,342.6,268.2,0.68,0.114
000164,static_on_table,1332,342.6,268.2,0.53,0.112
000165,static_on_table,1320,342.8,268.2,0.75,0.110
000166,static_on_table,1318,342.8,268.2,0.52,0.108
000167,static_on_table,1295,342.8,268.2,0.51,0.105
000168,static_on_table,1247,342.7,268.5,0.81,0.103
000169,static_on_table,1245,342.8,268.6,0.62,0.100
000170,static_on_table,1226,342.8,269.0,1.09,0.098
000171,static_on_table,1224,342.9,269.1,0.99,0.096
000172,static_on_table,1206,342.9,269.4,0.97,0.095
000173,static_on_table,1205,342.9,269.4,0.98,0.094
000174,static_on_table,1206,343.0,269.9,0.78,0.093
000175,static_on_table,1204,343.0,269.9,0.79,0.093
000176,static_on_table,1180,343.2,270.2,0.68,0.092
000177,static_on_table,1161,343.1,270.4,0.87,0.091
000178,static_on_table,1163,343.2,270.4,0.55,0.090
000179,static_on_table,1145,343.2,270.7,0.75,0.089
000180,static_on_table,1143,343.2,270.7,0.52,0.088
000181,static_on_table,1108,343.3,271.1,0.50,0.087
000182,static_on_table,1093,343.5,271.2,0.64,0.084
000183,static_on_table,1091,343.6,271.2,0.46,0.082
000184,static_on_table,1088,343.7,271.4,0.60,0.080
000185,static_on_table,1074,344.0,271.5,0.53,0.079
000186,static_on_table,1076,344.0,271.4,0.39,0.077
000187,static_on_table,1061,344.6,271.6,0.55,0.075
000188,static_on_table,1061,344.6,271.6,0.40,0.074
000189,static_on_table,1046,344.6,271.6,0.33,0.073
000190,static_on_table,1049,344.6,271.5,0.32,0.074
000191,static_on_table,1044,344.5,271.4,0.27,0.074
000192,static_on_table,1045,344.3,271.3,0.29,0.074
000193,static_on_table,1045,344.4,271.3,0.21,0.075
000194,static_on_table,1061,344.1,271.2,0.36,0.075
000195,static_on_table,1060,343.5,270.8,0.51,0.076
000196,static_on_table,1061,343.4,270.8,0.45,0.077
000197,static_on_table,1086,343.0,270.5,0.79,0.078
000198,static_on_table,1087,343.1,270.5,0.65,0.078
000199,static_on_table,1085,342.6,270.1,0.67,0.078
000200,static_on_table,1087,342.4,269.9,0.80,0.078
000201,static_on_table,1088,342.5,269.9,0.51,0.078
000202,static_on_table,1104,342.3,269.6,0.71,0.079
000203,static_on_table,1113,342.1,269.5,0.59,0.079
000204,static_on_table,1115,342.1,269.5,0.46,0.078
000205,static_on_table,1116,342.2,269.8,0.42,0.080
000206,static_on_table,1115,342.2,269.8,0.29,0.083
000207,static_on_table,1106,343.0,270.5,0.86,0.085
000208,static_on_table,1106,343.0,270.6,0.88,0.087
000209,static_on_table,1087,343.4,271.2,1.14,0.093
000210,static_on_table,1090,343.4,271.2,1.13,0.097
000211,static_on_table,1098,344.1,271.6,0.89,0.101
000212,static_on_table,1104,344.8,272.0,1.33,0.106
000213,static_on_table,1104,344.8,272.0,0.93,0.110
000214,static_on_table,1083,345.7,272.7,1.55,0.117
000215,static_on_table,1078,345.7,272.7,1.12,0.127
000216,static_on_table,1079,346.6,272.7,1.11,0.136
000217,static_on_table,1093,347.1,272.9,1.51,0.144
000218,static_on_table,1128,347.7,272.8,1.19,0.150
000219,static_on_table,1129,347.7,272.8,1.18,0.156
000220,static_on_table,1139,348.5,272.9,1.32,0.160
000221,static_on_table,1137,348.6,272.9,1.00,0.164
000222,static_on_table,1175,349.0,272.6,0.98,0.167
000223,static_on_table,1176,349.1,272.6,0.98,0.168
000224,static_on_table,1208,348.9,272.3,0.69,0.168
000225,static_on_table,1211,348.9,272.3,0.67,0.168
000226,static_on_table,1298,348.9,271.6,1.04,0.168
000227,static_on_table,1285,349.0,271.6,0.97,0.167
000228,static_on_table,1309,349.0,271.2,0.99,0.166
000229,static_on_table,1307,349.0,271.2,1.00,0.164
000230,static_on_table,1337,348.9,270.7,0.74,0.161
000231,static_on_table,1338,348.9,270.7,0.72,0.157
000232,static_on_table,1355,348.5,270.2,0.70,0.154
000233,static_on_table,1353,348.5,270.3,0.68,0.150
000234,static_on_table,1364,348.2,269.8,0.64,0.148
000235,static_on_table,1364,348.2,269.8,0.65,0.145
000236,static_on_table,1360,347.7,269.5,0.71,0.143
000237,static_on_table,1363,347.4,269.1,1.01,0.142
000238,static_on_table,1351,347.5,269.1,0.72,0.141
000239,static_on_table,1322,347.7,268.8,0.96,0.141
000240,static_on_table,1330,347.8,268.7,0.71,0.142
000241,static_on_table,1342,347.7,268.4,0.59,0.145
000242,static_on_table,1341,347.9,268.5,0.63,0.149
000243,static_on_table,1341,347.9,268.5,0.38,0.153
000244,static_on_table,1278,348.8,269.0,0.42,0.154
000245,static_on_table,1277,348.9,269.0,0.46,0.151
000246,static_on_table,1239,349.3,269.8,1.01,0.146
000247,static_on_table,1232,349.8,270.0,1.45,0.142
000248,static_on_table,1234,349.8,270.0,1.11,0.137
000249,static_on_table,1212,350.1,270.0,1.64,0.132
000250,static_on_table,1172,350.0,270.5,1.12,0.129
000251,static_on_table,1171,350.0,270.5,0.68,0.126
000252,static_on_table,1155,350.1,271.0,0.91,0.124
000253,static_on_table,1145,350.3,271.3,0.81,0.123
000254,static_on_table,1144,350.4,271.3,0.51,0.121
000255,static_on_table,1140,350.7,271.6,0.70,0.120
000256,static_on_table,1134,350.7,271.6,0.44,0.119
000257,static_on_table,1135,350.9,271.9,0.50,0.119
000258,static_on_table,1131,350.9,271.9,0.48,0.118
000259,static_on_table,1130,350.7,272.0,0.46,0.116
000260,static_on_table,1127,350.6,272.0,0.54,0.113
000261,static_on_table,1128,350.5,272.0,0.67,0.110
000262,static_on_table,1121,350.4,272.2,1.02,0.109
000263,static_on_table,1123,350.4,272.2,0.84,0.107
000264,static_on_table,1129,349.9,272.2,0.99,0.105
